Word,Socialness,Concreteness,Valence_ext,Frequency,OLD,LDT_zRT,LDT_Accuracy,AoA.Rating,AoA.Test,WordType,zRTclean_mean,ACC,Hits,FalseAlarms,Hit_min_FA,Phonemes_no,phono_upoint,pld20_m,us_ldt_zrt_m,us_ldt_acc,us_ldt_zrtmdur_m,uk_ldt_zrt_m,uk_ldt_acc,uk_ldt_zrtmdur_m,sg_ldt_zrt_m,sg_ldt_acc,sg_ldt_zrtmdur_m,Length
decision,3.9583333333333335,2.19,0.5,3.449,2.4,-0.466,0.97,7.57,4,Abstract,-0.16,100.00%,NA,NA,NA,7,5,2.4,-0.90932493,0.984615385,-0.363550098,-0.805142016,1,-0.139447172,-0.350611524,0.981481481,-0.550677077,8
decisive,4.458333333333333,2.16,1.7800000000000002,1.826,2.6,-0.166,0.94,11.44,12,Abstract,0.17,93.33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
declaration,5,2.52,0.6699999999999999,2.258,2.55,-0.137,1,11.4,6,NA,NA,NA,NA,NA,NA,10,6,2.55,-0.419403706,0.970588235,-0.45140722,-0.312558655,0.981818182,-1.009366614,0.055897504,0.962264151,-0.877701105,11
declare,4.045454545454546,2,0.41999999999999993,2.588,2.4,-0.448,1,10.74,6,Abstract,-0.44,96.77%,0.52,0.23,0.28,6,4,2.85,-0.581248122,0.985074627,-0.382079898,-0.926154274,0.981481481,-0.356424278,-0.61601149,0.962264151,-0.336737732,7
decline,2.9565217391304346,2.76,1.81,2.185,1.95,-0.601,1,9.74,8,NA,NA,NA,0.6,0.22,0.38,6,7,2.15,-0.547651811,0.96969697,-0.429837206,-0.681221159,0.98245614,-0.549492041,-0.092594521,0.981818182,-0.189655288,7
decode,2.5238095238095237,3,0.5,1.748,1.9,-0.138,0.88,10.68,6,NA,NA,NA,NA,NA,NA,5,4,2.4,-0.110448922,0.925373134,-0.243070427,-0.085677904,0.888888889,-0.078326703,-0.293850718,0.905660377,0.046840496,6
decoder,2.857142857142857,3.56,1.21,1.362,NA,NA,NA,11.11,NA,Concrete,0.14,61.29%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
decompose,1.826086956521739,3,2.58,1.398,3.25,-0.115,1,10.48,8,NA,NA,NA,NA,NA,NA,8,9,3.5,-0.069604631,0.984848485,-1.238367136,0.019425661,1,-1.169236816,-0.005841793,1,-1.147159981,9
decomposition,2.260869565217391,3.1,1.8399999999999999,1.431,4.05,0.035,0.97,13.75,12,NA,NA,NA,NA,NA,NA,12,5,4.3,0.31290908,0.985294118,-0.626659677,0.156037969,0.962962963,-0.894728693,0.207790913,0.981132075,-1.217473322,13
decompress,3.0952380952380953,2.59,0.5700000000000003,1.447,3.65,0.301,0.94,12.8,NA,NA,NA,NA,NA,NA,NA,9,9,3.7,0.432028087,0.939393939,-0.571485549,0.114784004,0.929824561,-0.747754656,0.094315557,0.945454545,-0.79387193,10
decompression,2.3333333333333335,3.07,1.25,1.462,4.15,0.442,0.94,14.24,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
decontamination,3.619047619047619,2.78,0.6699999999999999,1.398,4.35,0.84,0.79,13.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
decor,3.1739130434782608,3.77,0.9500000000000002,1.724,1.95,-0.175,0.84,10.89,12,Concrete,-0.12,70.97%,0.83,0.27,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
decorate,3.0434782608695654,3.4,1.2599999999999998,2.075,2.5,-0.256,1,7,4,NA,NA,NA,NA,NA,NA,7,7,2.4,-0.381925167,0.954545455,-0.851549403,-0.58780258,0.964285714,-0.677152504,-0.059375751,0.963636364,-0.416746236,8
decoration,2.363636363636364,3.53,1.71,1.978,2.35,0.223,0.97,5.94,10,NA,NA,NA,NA,NA,NA,9,7,1.95,-0.307575081,1,-0.653194053,-0.373388038,1,-0.553544602,0.169239599,1,-0.817771577,10
decorative,3.695652173913043,2.59,2.5199999999999996,1.653,2.75,0.061,1,10.1,6,NA,NA,NA,NA,NA,NA,9,6,3.55,-0.085959315,0.909090909,-0.884871307,-0.246758987,0.877192982,-0.55563482,0.180863977,0.981818182,-0.734815971,10
decorator,3.347826086956522,3.86,1.4299999999999997,2.033,2.75,-0.001,0.94,10.25,6,Concrete,-0.05,96.77%,NA,NA,NA,9,9,2.8,0.019452122,0.909090909,0.011337628,0.123729397,0.877192982,0.090880143,0.503423909,0.907407407,-0.347905764,9
decorum,4.052631578947368,2.36,0.5,1.633,2.85,0.335,0.68,15.12,14,Abstract,0.12,45.16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
decrease,2.260869565217391,2.68,0.8399999999999999,1.785,2.4,-0.481,1,8.56,6,NA,NA,NA,0.62,0.17,0.45,6,7,2.2,-0.257654667,0.923076923,-0.417583896,-0.443107723,0.982142857,-0.582244459,-0.126170471,0.888888889,-0.297414159,8
decree,3.772727272727273,2.68,0.33000000000000007,1.996,2.05,0.035,0.85,11.32,10,NA,NA,NA,0.75,0.15,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
decryption,2.909090909090909,2.83,0.1900000000000004,NA,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
dedicate,4.375,2.69,1.4800000000000004,2.097,2,-0.204,0.97,9.21,6,NA,NA,NA,NA,NA,NA,7,7,2.05,-0.464180161,0.985074627,-0.869248764,-0.641509904,1,-0.415310776,-0.285085835,0.944444444,-0.711453369,8
deduce,2.4166666666666665,1.61,0.29000000000000004,1.477,1.75,0.127,0.82,13,13,Abstract,-0.11,100.00%,0.77,0.22,0.55,6,7,2.45,-0.39235896,0.939393939,-0.189154534,-0.781103659,0.98245614,-0.959171083,-0.203343466,0.927272727,-0.53213346,6
deduct,2.3043478260869565,2.31,0.7599999999999998,1.748,2.2,-0.415,0.88,10.84,6,Abstract,-0.01,93.75%,0.72,0.22,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
deductible,2.857142857142857,2.74,0.29000000000000004,1.672,3.25,0.065,1,13.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
deduction,2.652173913043478,2.19,0.13999999999999968,1.944,2.15,-0.251,1,10.89,6,Abstract,-0.07,100.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
deem,2.761904761904762,2.1,0.2599999999999998,1.491,1.75,0.079,0.79,10.28,14,Abstract,0.37,96.88%,0.71,0.19,0.52,3,4,1.15,0.14741525,0.850746269,0.438804724,-0.085844711,0.785714286,0.410160724,-0.360303432,0.944444444,0.157061382,4
deep,2.5,3.38,0.4400000000000004,3.591,1.5,-0.74,1,5.47,2,NA,NA,NA,0.62,0.24,0.37,3,4,1.1,-0.75798605,0.96969697,0.307961508,-1.12584771,1,-0.013778701,-0.873124035,1,-0.044695659,4
default,2.8095238095238093,2,0.8399999999999999,1.716,2.85,-0.432,0.97,10.85,10,Abstract,-0.14,93.55%,0.72,0.38,0.33,6,5,2.4,-0.088247717,0.838235294,-0.581567377,-0.663136556,1,-0.412036686,-0.491088715,0.962264151,0.002564175,7
defeat,4.64,2.96,1.2599999999999998,2.764,1.9,0.048,1,8.74,4,NA,NA,NA,0.6,0.32,0.28,5,5,1.9,-0.599666095,0.984848485,-0.442793846,-0.842400983,0.982142857,-0.522760508,-0.377859935,0.963636364,-0.263461113,6
defeated,3.5454545454545454,2.59,2.41,2.455,2,-0.252,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
defect,1.8333333333333333,2.48,2.11,2.104,1.75,-0.293,0.94,10.26,8,Abstract,-0.18,74.19%,0.78,0.35,0.43,6,7,1.75,-0.551776864,1,-0.126507332,-0.457830361,0.963636364,-0.45352051,-0.17748873,0.962264151,-0.266338316,6
defective,2.090909090909091,2.56,1.48,2.045,2.4,-0.125,0.91,10.11,8,NA,NA,NA,NA,NA,NA,8,7,2.05,-0.293626559,0.96969697,-0.735920329,-0.42280987,0.982142857,-0.548957914,-0.014410893,1,-0.787683022,9
defend,5.083333333333333,2.31,1.2999999999999998,2.982,1.9,-0.571,0.94,8.16,2,Abstract,-0.38,93.55%,0.63,0.45,0.18,6,7,1.75,-0.17948092,1,-0.497738914,-0.341175906,0.981818182,-0.378739135,-0.38152059,1,0.147108398,6
defendant,4.681818181818182,3.8,0.9500000000000002,2.957,2.65,-0.064,0.97,11.42,8,Concrete,0.33,71.88%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
defender,5.217391304347826,3.19,0.04999999999999982,2.185,2.35,-0.333,0.97,9.05,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
defense,4.7727272727272725,2.45,0.3600000000000003,3.222,2.25,-0.379,0.97,8.8,2,Abstract,-0.44,87.50%,0.78,0.48,0.3,6,7,1.95,-0.600058291,0.985074627,-0.769011413,-0.683840012,1,-0.883066309,-0.532066578,0.981481481,-0.307776079,7
defer,3.526315789473684,1.92,0.5,1.491,1.85,0.091,0.7,11.88,14,Abstract,-0.08,100.00%,0.7,0.32,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
defiance,5.608695652173913,2.17,0.8499999999999996,1.763,2.5,0.025,1,12.35,8,Abstract,-0.12,93.55%,NA,NA,NA,7,7,2.6,0.003200308,0.984848485,-0.591665889,-0.072874084,1,-1.017512738,-0.21666576,0.981818182,-0.797698093,8
defiant,4.35,2.07,0.8799999999999999,1.681,2.55,-0.143,0.88,10.45,10,Abstract,-0.13,96.88%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
deficient,3.1818181818181817,1.89,1.37,1.462,2.85,-0.035,0.94,11.61,10,Abstract,0.19,96.77%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
deficit,3,2.21,2.05,1.748,2.55,0.138,0.9,12.89,12,Abstract,0.49,96.88%,NA,NA,NA,7,5,2.7,-0.454271435,1,-0.387956647,-0.6952583,0.981481481,-0.781778848,-0.485717207,0.981132075,-0.46071489,7
define,2.952380952380953,2.15,0.5700000000000003,2.504,1.8,-0.555,0.97,8.53,6,Abstract,-0.1,90.00%,0.72,0.32,0.4,5,6,1.7,-0.556180478,1,-0.429264369,-0.501721351,1,-0.617840561,-0.366782111,0.981818182,-0.399934458,6
definite,2.409090909090909,2.07,0.79,2.498,2.55,-0.116,0.97,8.44,8,Abstract,-0.11,90.32%,NA,NA,NA,7,8,2.45,-0.3313121,1,-0.553316866,-0.610007303,1,-0.426979073,0.078639163,0.963636364,-0.203650855,8
definition,2.4782608695652173,3.07,0.6299999999999999,2.473,2.8,-0.329,0.91,8.39,6,NA,NA,NA,NA,NA,NA,9,6,2.75,-0.323040439,1,-0.45319478,-0.488764171,1,-0.443393927,0.136714611,0.981481481,-0.62956417,10
definitive,2.142857142857143,1.83,0.5700000000000003,2,3.4,-0.209,0.94,12.61,14,Abstract,0.1,93.55%,NA,NA,NA,9,5,3.5,0.164745986,0.835820896,-0.131792559,0.012213791,0.877192982,-0.350858593,0.368834808,0.777777778,-0.630139744,10
deflect,3,3.25,0.09999999999999964,1.447,2.2,-0.075,0.9,10.06,12,NA,NA,NA,0.62,0.13,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
deformity,3.28,3.59,1.8199999999999998,1.342,3.5,-0.006,0.91,10.26,8,Concrete,0.37,38.71%,NA,NA,NA,9,7,3.25,0.053903706,0.893939394,-0.210512116,-0.039890731,0.928571429,-0.108282022,0.080673268,0.945454545,-0.525036657,9
defuse,2.6666666666666665,2.54,0.7800000000000002,1.591,1.95,-0.043,0.94,12.1,12,NA,NA,NA,0.62,0.3,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
defy,4.478260869565218,1.86,0.16000000000000014,2.201,1.8,-0.215,0.91,9.78,8,Abstract,-0.2,96.77%,0.68,0.17,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
degrade,4.454545454545454,1.64,2.38,1.544,2.6,-0.296,0.82,11.5,6,Abstract,0.43,83.87%,0.73,0.3,0.43,6,7,2.2,-0.088338589,0.925373134,-0.183426992,-0.286433737,0.851851852,-0.455708867,-0.454724514,1,0.024444341,7
degree,3.380952380952381,3,0.6299999999999999,2.881,2.4,-0.309,0.97,10.35,6,NA,NA,NA,0.73,0.3,0.43,5,5,1.85,-0.869499006,0.953846154,-0.415121594,-1.034206908,1,-0.256424311,-0.723769409,0.944444444,-0.179242246,6
dehydration,1.818181818181818,3.52,1.62,1.613,3.65,0.085,0.94,9.37,8,NA,NA,NA,NA,NA,NA,10,8,3.95,-0.369667252,1,-0.910358108,0.023476453,1,-1.00279244,0.264553913,0.981481481,-0.962772203,11
delay,2.590909090909091,2.79,1.5499999999999998,2.751,1.85,-0.501,0.97,8.78,4,NA,NA,NA,0.7,0.3,0.4,4,4,1.85,-0.544681791,1,-0.200117593,-0.840391298,0.982142857,-0.067565953,-0.649121605,1,-0.292473882,5
delegate,5.5,3.07,0.15000000000000036,1.869,2.4,-0.261,0.97,12.61,6,NA,NA,NA,NA,NA,NA,7,6,2.65,-0.387807838,0.953846154,-0.571288462,-0.812978678,0.947368421,-0.499209489,-0.406108436,1,-0.633332143,8
delegation,5.157894736842105,2.7,0.20000000000000018,1.851,2.65,0.113,0.97,13.32,6,NA,NA,NA,NA,NA,NA,9,6,2.25,-0.237033731,0.954545455,-0.58666369,-0.411983669,0.947368421,-0.603744526,0.058076702,0.963636364,-0.830487453,10
delete,2.5652173913043477,3.48,1,1.959,1.95,-0.647,0.91,7.78,12,NA,NA,NA,0.6,0.15,0.45,5,5,1.8,-0.64280253,1,-0.52449706,-0.875840524,0.962962963,-0.311969611,-0.159908819,1,-0.007478188,6
delicacy,4.2727272727272725,2.81,2,1.857,3.15,-0.014,0.94,10.47,8,NA,NA,NA,NA,NA,NA,8,7,2.95,-0.192284763,1,-0.430203136,-0.616650864,1,-0.46722209,-0.186543692,1,-0.462595327,8
delicate,3,2.3,1.38,2.687,2.15,-0.384,1,8.2,6,Abstract,0.05,93.55%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
delight,4.130434782608695,2.3,3.210000000000001,2.461,2.25,-0.44,0.97,8.68,4,Abstract,-0.3,90.32%,0.65,0.22,0.43,5,6,1.8,-0.87867462,0.984848485,-0.487582716,-0.869070934,0.964285714,-0.780506458,-0.997497354,1,-0.329055388,7
delighted,3.8333333333333335,2.86,2.74,2.82,2.7,-0.165,1,8.11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
delightful,4,2.38,2.38,2.672,4.05,-0.266,1,9.72,4,Abstract,-0.18,93.75%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
deliver,4.631578947368421,3.12,1,3.16,2.05,-0.279,0.97,6.63,2,NA,NA,NA,NA,NA,NA,7,8,2.7,-0.770121859,1,-0.27750382,-0.916305798,1,0.040398675,-0.746942551,1,-0.343768033,7
delta,1.7916666666666667,3.21,0.2999999999999998,2.629,1.95,-0.507,0.97,11.11,6,NA,NA,NA,NA,NA,NA,5,5,1.95,-0.482412887,0.96969697,0.385141795,-0.676919317,0.892857143,0.39806072,-0.346027878,0.909090909,0.204306261,5
delusion,2.6956521739130435,2.3,1.7000000000000002,2.143,2.55,-0.31,0.97,9.95,8,Abstract,-0.4,93.55%,NA,NA,NA,7,5,2.05,-0.874399294,0.984848485,-0.547726686,-0.675507066,0.982142857,-0.34813723,-0.465656115,1,-0.668680199,8
demand,4.916666666666667,2.2,0.9000000000000004,2.942,2.1,-0.733,1,7.83,6,Abstract,-0.03,100.00%,0.67,0.33,0.33,6,7,2,-0.520573479,0.969230769,-0.286080116,-0.455682353,0.98245614,-0.454866707,-0.228454856,0.981481481,-0.109227782,6
demeanor,5.130434782608695,2.44,0.3200000000000003,1.74,3.3,-0.024,0.97,12.56,14,Abstract,0.15,93.55%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
demented,4.681818181818182,1.69,1.8900000000000001,1.964,2.1,-0.199,0.91,11.61,14,Abstract,0.21,90.32%,NA,NA,NA,8,7,2.7,-0.033906689,0.707692308,0.087852306,0.186667403,0.75,0.568808822,0.521388338,0.740740741,0.439670792,8
demise,3.727272727272727,2.31,2,1.944,1.95,-0.263,0.88,10.67,14,Abstract,-0.18,93.75%,0.77,0.37,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
democracy,6.6521739130434785,1.78,1.1600000000000001,2.529,3.45,-0.467,1,10.17,6,Abstract,-0.05,78.13%,NA,NA,NA,9,8,3.65,-0.34556963,1,-0.724187231,-0.342998174,0.98245614,-0.469769442,-0.13929872,1,-0.787390424,9
democrat,6.363636363636363,3.96,0.54,NA,NA,NA,NA,11.21,8,Concrete,-0.16,87.10%,NA,NA,NA,8,8,3.4,-0.233581287,1,-0.827540061,-0.593876449,0.981481481,-0.24301866,-0.044875941,0.981132075,-0.492681473,8
democratic,6.142857142857143,1.74,0.7000000000000002,2.26,3.35,0.022,1,10.22,8,Abstract,0.38,81.25%,NA,NA,NA,10,8,3.75,-0.112367554,0.96969697,-1.137697654,-0.358407601,0.964912281,-0.687394994,-0.059036941,0.981818182,-0.50249146200000006,10
demolish,2.2,3.46,2.33,1.447,2.95,-0.198,0.89,9.11,6,NA,NA,NA,NA,NA,NA,7,5,2.85,-0.277805003,1,-0.78647029,-0.752425605,0.981818182,-0.690611967,-0.580593533,1,-0.667152354,8
demolition,2.65,3.38,1.0899999999999999,2.161,2.8,0.027,0.97,9.05,8,NA,NA,NA,NA,NA,NA,9,5,2.8,-0.010323995,0.818181818,-0.269235429,-0.214357714,0.789473684,-0.120009532,0.275329575,0.727272727,-0.379319313,10
demon,3.130434782608696,3.32,2,3.203,1.85,-0.45,0.97,7.16,6,NA,NA,NA,0.85,0.13,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
demonic,3.4,2.17,1.9500000000000002,2.19,2.7,-0.112,0.82,10.32,NA,Abstract,-0.09,80.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
demonstrate,5.105263157894737,2.53,0.46999999999999975,2.378,2.85,-0.268,0.97,9.05,4,NA,NA,NA,NA,NA,NA,10,10,3.75,-0.33104701,1,-0.875013202,-0.424362655,0.964285714,-1.21264782,-0.050260673,0.981481481,-0.781619338,11
demonstration,5.76,3.75,0.5,2.565,3.3,0.09,0.97,10.11,6,Concrete,1.67,25.00%,NA,NA,NA,12,10,3.75,-0.301560243,1,-0.71923976,-0.016418619,0.982142857,-0.823278064,0.359843261,0.981481481,-1.044670092,13
denial,3.4583333333333335,2.46,1.4300000000000002,2.43,1.75,-0.579,1,9.45,8,Abstract,-0.08,100.00%,NA,NA,NA,6,6,2.35,-0.769822852,0.969230769,-0.615174105,-0.96747667,1,-0.211936767,-0.389842605,0.981481481,-0.466814262,6
denim,1.7727272727272727,4.77,1,1.532,2.05,-0.013,0.91,8.22,4,Concrete,-0.41,90.32%,0.82,0.13,0.68,5,5,1.95,-0.480160983,0.909090909,0.353047097,-0.920764833,0.982142857,0.558369546,-0.497984786,0.907407407,0.015884534,5
denominator,2.1904761904761907,3.36,0.3899999999999997,1.462,3.5,0.196,0.88,11.17,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
denounce,3.75,1.83,0.7599999999999998,1.653,2.65,-0.161,0.97,12.16,10,Abstract,-0.05,83.87%,0.8,0.27,0.53,6,4,2.5,-0.459409242,0.863636364,-0.212235226,0.066698906,0.714285714,-0.563978625,0.151161843,0.814814815,-0.323702793,8
dense,2.8260869565217392,3.14,0.3200000000000003,2.037,1.85,-0.391,0.97,10.2,8,NA,NA,NA,0.63,0.12,0.51,4,5,1.5,-0.462927611,1,-0.544869736,-0.739050507,0.946428571,-0.25778965,-0.393300896,0.945454545,0.010135631,5
density,1.7727272727272727,2.52,0.15000000000000036,1.869,2.8,-0.201,0.97,10.79,8,NA,NA,NA,NA,NA,NA,7,5,2.65,-0.528032933,1,-0.051452964,-0.745308472,1,-0.205192014,-0.452675701,1,-0.588963532,7
dent,2,4.63,1.48,2.258,1.25,-0.2,0.91,7.33,6,Concrete,-0.63,90.32%,0.75,0.14,0.61,4,5,1.05,-0.43511753,1,-0.177704039,-1.107038433,0.982142857,-0.119288889,-0.375131065,0.87037037,0.330483434,4
dental,3.380952380952381,3.08,0.2699999999999996,2.5,1.85,-0.587,1,7.21,6,NA,NA,NA,0.83,0.25,0.58,5,5,1.8,-0.569999859,0.984848485,-0.182303155,-0.937156682,0.982142857,0.130137494,-0.732976101,0.927272727,0.039694808,6
dentist,5.2727272727272725,4.93,1.1600000000000001,2.757,2.5,-0.736,0.97,5.22,2,Concrete,-0.67,96.77%,0.73,0.23,0.5,7,8,2.9,-0.196854538,0.861538462,-0.625203286,-0.815363393,1,-0.811243954,-0.371249202,1,-0.422336285,7
deny,3.772727272727273,2.2,1.19,3.038,1.75,-0.437,0.91,7.8,6,Abstract,-0.19,100.00%,NA,NA,NA,4,5,1.85,-0.878593343,1,-0.317131238,-0.856516455,0.964912281,-0.15398452,-0.693188844,0.962962963,-0.19025646,4
deodorant,3.3043478260869565,5,1.0899999999999999,1.919,3.95,-0.203,1,8.83,6,Concrete,-0.38,93.55%,NA,NA,NA,9,7,3.75,-0.353112512,1,-1.191393384,-0.633694042,0.982142857,-1.109570029,-0.305890444,0.962962963,-0.923994109,9
depart,3.0869565217391304,2.86,0.9500000000000002,2.041,1.95,-0.452,1,9.89,6,NA,NA,NA,0.63,0.27,0.37,6,7,2.3,-0.653974844,1,-0.086636563,-0.519650489,0.98245614,-0.459845644,-0.179575444,0.87037037,-0.146374099,6
department,4.111111111111111,3.3,0.33000000000000007,3.513,2.8,-0.191,0.94,9.84,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
departmental,3.6666666666666665,1.9,0.33000000000000007,1.633,4.15,0.439,0.94,12.61,NA,Abstract,0.7,65.63%,NA,NA,NA,11,5,4.9,0.161618732,0.955223881,-0.257344714,0.497319925,0.964285714,-0.275062289,0.820523018,0.851851852,-0.390381426,12
departure,3.952380952380953,3.07,0.9500000000000002,2.441,3.25,-0.325,0.97,9.78,6,NA,NA,NA,NA,NA,NA,8,6,3.1,-0.36900309,0.984615385,-0.193557488,-0.214009069,0.964285714,-0.082120715,-0.187017292,1,-0.638512359,9
depend,4,1.89,0,2.703,1.9,-0.564,1,8.5,4,Abstract,-0.26,87.10%,NA,NA,NA,6,7,1.8,-0.547744558,0.984848485,-0.419334214,-0.442604117,1,-0.613191025,-0.447924579,0.981818182,-0.049839595,6
dependency,5.545454545454546,1.93,1.29,1.431,3.25,-0.072,1,11,6,Abstract,-0.52,96.88%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
depict,3.130434782608696,2.13,0.2599999999999998,1.447,2.2,-0.249,0.97,11.5,13,Abstract,0.21,87.10%,0.55,0.23,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
deploy,4.333333333333333,2.96,0.75,2.134,2.4,-0.223,0.88,12.44,13,NA,NA,NA,0.77,0.17,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
deployment,4.238095238095238,2.9,1.6800000000000002,1.813,3.5,0.231,0.67,12.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
deport,4.714285714285714,3.41,1.8599999999999999,1.613,1.85,-0.303,1,12.65,8,NA,NA,NA,0.72,0.28,0.43,6,7,1.85,-0.34182692,0.941176471,-0.078453633,-0.117576159,0.925925926,-0.149492424,-0.25864218,0.924528302,-0.057253548,6
depose,3.95,2.52,0.7999999999999998,1.342,1.95,-0.093,0.73,13.56,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
deposit,2.6956521739130435,3.92,1.25,2.742,2.6,-0.494,1,8.65,4,Concrete,0.13,76.67%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
deposition,3.5,2.92,1.4700000000000002,2.188,2.5,0.416,1,13.59,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
depository,2.6,3.37,0.2400000000000002,1.708,3.05,0.066,0.88,13.18,13,NA,NA,NA,NA,NA,NA,10,8,3.4,0.385449483,0.953846154,-0.272409905,-0.07989177,1,-0.047132928,0.36042472,0.925925926,-0.379764795,10
depravity,4.095238095238095,2.17,1.9500000000000002,1.544,3.65,0.124,0.74,13.37,14,Abstract,0.02,96.88%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
depress,3.952380952380953,2.29,2.53,1.568,2.05,-0.202,0.97,9.75,6,Abstract,-0.1,80.65%,0.72,0.23,0.48,6,7,1.8,-0.639726662,0.985294118,-0.499663553,-0.624186931,1,-0.59066884,-0.73192189,0.981132075,-0.791200787,7
deprive,3.7142857142857144,2.21,1.63,1.833,2.2,-0.388,0.97,9.37,6,Abstract,-0.2,93.55%,0.77,0.42,0.35,6,7,2.1,-0.232514094,0.985294118,-0.735404283,-0.444309029,0.981818182,-0.611608308,-0.093422946,1,-0.765394176,7
depth,2.6,3.11,0.7999999999999998,2.625,1.9,-0.542,0.97,9.72,6,NA,NA,NA,0.76,0.24,0.52,4,4,1.95,-0.478436094,0.911764706,0.076205878,-0.685147677,0.925925926,0.304026542,-0.420246492,0.962264151,-0.005498997,5
derail,2.347826086956522,3.55,1.1400000000000001,1.477,2.05,0.2,0.7,10.67,6,Concrete,0.24,18.75%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
derive,2.9411764705882355,2,0.28000000000000025,1.556,1.75,0.046,0.89,12,8,Abstract,0.33,87.50%,0.7,0.23,0.47,5,5,1.8,-0.479774672,0.954545455,-0.816497788,-0.726638107,0.947368421,-0.605114764,-0.166323816,0.981818182,-0.461047438,6
dermatologist,4.521739130434782,4.21,1,1.462,4.95,0.322,0.97,12.62,12,Concrete,0.15,87.10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
descend,2.9583333333333335,3.18,0.33000000000000007,1.996,2.45,-0.364,1,9.19,6,NA,NA,NA,0.78,0.5,0.28,6,7,1.75,-5.56676e-4,1,-0.097844037,-0.183753951,0.929824561,-0.327658193,-0.066343034,0.981481481,-0.057758236,7
descendant,4.090909090909091,3.53,0.2599999999999998,1.748,2.95,-0.261,0.97,9.61,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
