word_us,n_phon,phono_upoint,pld20_m,pld20_sd,sg_ldt_acc,sg_ldt_acc_n,us_ldt_acc,us_ldt_acc_n,uk_ldt_acc,uk_ldt_acc_n,sg_ldt_zrt_m,sg_ldt_zrt_sd,sg_ldt_zrt_n,us_ldt_zrt_m,us_ldt_zrt_sd,us_ldt_zrt_n,uk_ldt_zrt_m,uk_ldt_zrt_sd,uk_ldt_zrt_n,sg_ldt_zrtmdur_m,sg_ldt_zrtmdur_sd,sg_ldt_zrtmdur_n,us_ldt_zrtmdur_m,us_ldt_zrtmdur_sd,us_ldt_zrtmdur_n,uk_ldt_zrtmdur_m,uk_ldt_zrtmdur_sd,uk_ldt_zrtmdur_n,...30
accent,6,7,2.4,0.502624689950034,0.811320755,53,0.925373134,67,0.888888889,54,-0.207500798,0.729602129,43,-0.325938778,0.606567185,62,-0.143984674,0.602943586,47,-0.038708885,0.726057199,43,-0.034684045,0.801190241,62,0.243607659,0.57421351,47,NA
accept,6,7,2.55,0.604805318829299,0.796296296,54,0.984848485,66,0.964285714,56,-0.093387898,0.76305551,42,-0.533388619,0.630595144,64,-0.191658348,0.847391554,54,0.076141183,0.67099962,42,-0.566179377,0.607530025,64,-0.163002435,0.790678605,54,NA
acceptance,9,8,3.55,0.604805318829299,0.962264151,53,0.955223881,67,0.981481481,54,0.051295444,0.662084822,51,-0.011630209,0.597185037,64,-0.090277776,0.564370294,49,-0.492774159,0.675179353,51,-0.798667957,0.59909575,64,-0.542379654,0.491058875,49,NA
access,5,5,2.1,0.640723275517187,1,55,0.984848485,66,0.946428571,56,-0.295182372,0.659414914,55,-0.642629144,0.674234484,63,-0.436084357,0.63275837,51,-0.354817514,0.65216453,55,-0.646094862,0.676021131,63,-0.260089651,0.600766338,51,NA
accessible,9,7,3.05,0.394034462826206,1,55,0.984848485,66,0.964912281,57,-0.120399169,0.617270809,54,-0.075533316,0.691017675,63,-0.247079014,0.521352743,54,-0.160968775,0.606957755,54,-0.079214807,0.674036067,63,-0.113478477,0.476437933,54,NA
accessory,8,7,3.15,0.587142948612399,0.962264151,53,1,68,0.981481481,54,0.299566588,0.637470896,50,-0.093057869,0.596283828,67,-0.25054233,0.56018608,52,-0.275539319,0.494713619,50,-0.183833652,0.581658394,67,-0.005230705,0.512451491,52,NA
accident,8,6,2.75,0.444261658319319,0.945454545,55,0.96969697,66,0.98245614,57,-0.424264753,0.461757112,52,-0.581174204,0.533859622,64,-0.431782579,0.625839429,54,-0.493583289,0.557313391,52,-0.66357303,0.539097345,64,-0.801583338,0.61008159,54,NA
accommodate,8,8,3.25,0.55011960422018,0.981132075,53,0.985294118,68,1,55,-0.447397752,0.506582803,52,-0.290840734,0.662336053,65,-0.500555365,0.623956844,53,-0.541572842,0.539077735,52,-0.634387274,0.724642118,65,-0.595617292,0.605805018,53,NA
accommodation,10,8,3.25,0.55011960422018,1,54,0.984615385,65,1,56,-0.014033959,0.490303946,53,-0.198759991,0.441141011,64,-0.332237986,0.495838471,55,-1.087790844,0.398939909,53,-0.697407453,0.436260199,64,-0.676068541,0.507411056,55,NA
accomplice,8,7,3.3,0.656946685331786,0.981481481,54,0.969230769,65,0.98245614,57,-0.173376967,0.584683088,52,-0.117101963,0.648396124,63,-0.118304817,0.648673928,55,-0.599454554,0.559825886,52,-0.656313713,0.66991963,63,-0.36278416,0.641402382,55,NA
accomplish,8,9,3.7,0.8013147091860311,0.981132075,53,1,67,1,54,-0.30271455,0.482242478,51,-0.332908845,0.429697527,66,-0.160730604,0.704344381,53,-0.647836283,0.473696788,51,-0.818324193,0.414389077,66,-0.37365906,0.68219593,53,NA
accord,5,6,1.8,0.410391340834061,0.962962963,54,0.848484848,66,0.982142857,56,-0.157564284,0.80409939,50,-0.204547324,0.695103907,55,-0.119925591,0.747434198,55,0.302353575,0.861127639,50,-0.101028731,0.594299965,55,0.069585365,0.717469697,55,NA
accordion,8,6,2.95,0.223606797749978,0.907407407,54,0.803030303,66,0.821428571,56,0.198452255,0.812117195,49,-0.017892469,0.673103869,51,-0.044782967,0.740128058,45,0.285976901,0.765322867,49,-0.004304579,0.627672586,51,0.366378896,0.704352914,45,NA
